Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
3,"J10, J7",,1X03,PRPC003SAAN-RC,Sullins Connector Solutions,DK,S1011EC-03-ND,"CONN HEADER .100"" SNGL STR 3POS",1X03,REF210
2,"C7, C8",0.1uF,0603-CAP,CL10B104KB8NNNC,Samsung Electro-Mechanics America,DK,1276-1000-1-ND,CAP CER 0.1UF 50V 10% X7R 0603,0603-CAP,REF134
1,R7,2.55k,0603-RES,ERJ-3EKF2551V,Panasonic Electronic Components,DK,P2.55KHCT-ND,RES SMD 2.55K OHM 1% 1/10W 0603,0603-RES,REF190
1,J9,3V3 EXT,SCREWTERMINAL-3.5MM-2,20020327-C021B01LF,FCI,DK,609-4725-ND,3.5MM TERMINAL BLOCK -55~110C,3.5MM,REF191
1,R6,10.2k,0603-RES,ERJ-3EKF1022V,Panasonic Electronic Components,DK,P10.2KHCT-ND,RES SMD 10.2K OHM 1% 1/10W 0603,0603-RES,REF189
3,"C12, C9, C10",22uF,1210,TLJA476M010R0600,AVX Corporation,DK,478-9009-1-ND,CAP TANT 47UF 10V 20% 1206,1206-RES,REF180
1,R5,31.6k,0603-RES,ERJ-3EKF3162V,Panasonic Electronic Components,DK,P31.6KHCT-ND,RES SMD 31.6K OHM 1% 1/10W 0603,0603-RES,REF188
1,J1,A3-16PA-2SV(71)T,A3-16PA-2SV(71)-TOP,A3-16PA-2SV(71),Hirose Electric Co Ltd,DK,H10940-ND,CONN HEADER 16POS 2MM GOLD SMD,2x8,REF201
1,U1,ADP2303,SOIC-8-PAD,ADP2303ARDZ,Analog Devices Inc,DK,ADP2303ARDZ-ND,IC REG BUCK ADJ 3A 8SOIC,8-SOIC-EP,REF186
1,J4,AVR_SPI_PRG_6PTH,2X3,M20-9720345,Harwin Inc,DK,952-1921-ND,2X3POS DIL VERTICAL PIN HEADER,2x3,REF203
1,L1,CLF6045T-6R8N-H,CLF6045-H,CLF6045T-6R8N-H,TDK Corporation,DK,445-15108-1-ND,FIXED IND 6.8UH 2.9A 27 MOHM SMD,INDUCTOR,REF204
1,U2,SIP32510,SOT23-6,SIP32510DT-T1-GE3,Vishay Siliconix,DK,SIP32510DT-T1-GE3CT-ND,IC LOAD SWITCH SOT23-6,SOT23-6,REF205
2,"D1, D2",SSB43L-E3,DO214AA,SSB43L-E3/52T,Vishay Semiconductor Diodes Division,DK,SSB43L-E3/52TGICT-ND,DIODE SCHOTTKY 30V 4A DO214AA,DO-214AA,REF181
1,J3,TEENSY-3.1SILK,TEENSY-3.1,TEENSY32,pjrc.com,pjrc.com,TEENSY32,Teensy USB Board Version 3.2,TEENSY,REF202
1,J8,VIN,SCREWTERMINAL-3.5MM-2@1,20020327-C021B01LF,FCI,DK,609-4725-ND,3.5MM TERMINAL BLOCK -55~110C,3.5MM,REF191
2,,,1x14,PRPC014SAAN-RC,Sullins Connector Solutions,DK,S1011EC-14-ND,"CONN HEADER .100"" SNGL STR 14POS",1x14,REF208
1,,,1x05,PRPC005SAAN-RC,Sullins Connector Solutions,DK,S1011EC-05-ND,"CONN HEADER .100"" SNGL STR 5POS",1x05,REF209
1,,,1x01,PRPC001SAAN-RC,Sullins Connector Solutions,DK,S1011EC-01-ND,"CONN HEADER .100"" SNGL STR 1POS",1x01,REF211
2,,,1x14,PPPC141LFBN-RC,Sullins Connector Solutions,DK,S7047-ND,"CONN HEADER FMALE 14POS .1"" GOLD",1x14,REF212
1,,,1x05,PPPC051LFBN-RC,Sullins Connector Solutions,DK,S7038-ND,"CONN HEADER FEMALE 5POS .1"" GOLD",1x05,REF213
2,,,1x08,PPPC081LFBN-RC,Sullins Connector Solutions,DK,S7041-ND,"CONN HEADER FEMALE 8POS .1"" GOLD",1x08,REF214
1,,,1x10,PPPC101LFBN-RC,Sullins Connector Solutions,DK,S7043-ND,"CONN HEADER FEMALE 10POS .1"" GOLD",1x10,REF215
1,,,1x06,PPPC061LFBN-RC,Sullins Connector Solutions,DK,S7039-ND,"CONN HEADER FEMALE 6POS .1"" GOLD",1x06,REF216
1,,,1x03,PPPC031LFBN-RC,Sullins Connector Solutions,DK,S7036-ND,"CONN HEADER FEMALE 3POS .1"" GOLD",1x03,REF217
2,,,JUMPER,SPC02SYAN,Sullins Connector Solutions,DK,S9001-ND,CONN JUMPER SHORTING GOLD FLASH,JUMPER,REF218
